Home,Away,Hscore,Ascore
千葉,川崎,72,81
秋田,琉球,67,84
三遠,京都,77,64
滋賀,新潟,73,78
北海道,大阪,68,74
千葉,川崎,66,68
A東京,SR渋谷,73,71
名古屋D,三河,80,75
富山,横浜,94,82
福岡,栃木,67,79
富山,横浜,101,77
北海道,大阪,70,53
秋田,琉球,66,71
三遠,京都,88,93
滋賀,新潟,75,71
福岡,栃木,73,82
A東京,SR渋谷,87,79
名古屋D,三河,96,93
新潟,秋田,84,74
栃木,富山,104,84
川崎,滋賀,76,64
新潟,秋田,104,92
京都,横浜,84,80
大阪,福岡,73,56
琉球,名古屋D,88,87
三河,A東京,69,77
京都,横浜,87,81
大阪,福岡,89,65
琉球,名古屋D,79,68
川崎,滋賀,68,80
千葉,三遠,70,60
栃木,富山,85,80
SR渋谷,北海道,67,66
SR渋谷,北海道,57,76
三河,A東京,55,65
千葉,三遠,73,56
北海道,千葉,63,93
A東京,栃木,74,79
SR渋谷,秋田,58,63
川崎,三河,69,60
横浜,富山,84,88
新潟,三遠,61,48
名古屋D,福岡,89,76
滋賀,大阪,60,64
京都,琉球,94,89
秋田,福岡,72,71
三遠,琉球,63,96
栃木,北海道,70,72
A東京,川崎,89,67
三河,SR渋谷,74,64
千葉,新潟,98,90
横浜,滋賀,80,76
富山,京都,90,71
大阪,名古屋D,63,76
富山,京都,95,64
秋田,福岡,73,53
横浜,滋賀,72,70
三遠,琉球,60,91
大阪,名古屋D,70,80
栃木,北海道,79,70
千葉,新潟,94,87
A東京,川崎,66,46
三河,SR渋谷,76,71
秋田,栃木,74,77
千葉,北海道,110,78
SR渋谷,A東京,61,62
川崎,三遠,56,65
横浜,新潟,72,88
三河,富山,94,71
滋賀,名古屋D,77,84
福岡,京都,72,81
琉球,大阪,81,48
琉球,川崎,68,60
琉球,川崎,72,75
名古屋D,福岡,90,78
SR渋谷,横浜,79,84
新潟,三遠,77,54
富山,秋田,90,75
京都,A東京,67,77
大阪,千葉,69,80
富山,秋田,98,80
SR渋谷,横浜,77,73
新潟,三遠,72,91
京都,A東京,79,70
大阪,千葉,63,77
北海道,栃木,72,86
名古屋D,福岡,91,88
北海道,栃木,60,85
滋賀,三河,56,77
滋賀,三河,75,78
A東京,琉球,53,67
福岡,京都,95,98
三遠,北海道,86,80
三河,富山,83,78
福岡,京都,100,47
千葉,SR渋谷,85,83
A東京,琉球,69,75
栃木,滋賀,90,93
秋田,名古屋D,83,97
横浜,新潟,72,79
大阪,川崎,79,80
秋田,名古屋D,68,84
横浜,新潟,63,87
三遠,北海道,75,88
三河,富山,91,72
大阪,川崎,80,83
栃木,滋賀,98,61
千葉,SR渋谷,78,70
栃木,千葉,73,61
北海道,SR渋谷,72,91
A東京,秋田,100,55
横浜,三遠,90,97
新潟,三河,76,70
富山,川崎,78,87
