Home,Away,Hscore,Ascore
名古屋D,滋賀,72,56
京都,大阪,78,65
琉球,福岡,73,77
名古屋D,秋田,63,79
栃木,福岡,97,65
千葉,琉球,84,86
SR渋谷,三河,76,71
川崎,A東京,79,66
新潟,北海道,78,63
滋賀,富山,84,91
京都,三遠,80,76
大阪,横浜,86,81
滋賀,富山,72,85
大阪,横浜,78,68
SR渋谷,三河,81,79
名古屋D,秋田,79,54
京都,三遠,65,78
栃木,福岡,86,66
千葉,琉球,84,66
新潟,北海道,82,76
川崎,A東京,70,87
三河,名古屋D,87,71
三遠,滋賀,75,81
北海道,川崎,69,85
千葉,大阪,88,58
三河,名古屋D,76,65
秋田,新潟,58,65
SR渋谷,京都,64,65
横浜,福岡,71,78
富山,栃木,70,96
琉球,A東京,54,57
北海道,川崎,74,82
富山,栃木,65,74
秋田,新潟,75,67
SR渋谷,京都,85,78
横浜,福岡,85,73
三遠,滋賀,75,65
千葉,大阪,81,59
琉球,A東京,71,56
秋田,三河,64,62
富山,名古屋D,97,99
三遠,千葉,66,87
滋賀,SR渋谷,58,87
A東京,京都,85,87
横浜,琉球,53,89
大阪,北海道,81,70
福岡,新潟,71,68
川崎,栃木,79,86
富山,名古屋D,98,89
三遠,千葉,74,95
秋田,三河,81,61
横浜,琉球,58,75
滋賀,SR渋谷,78,81
福岡,新潟,69,73
A東京,京都,85,82
川崎,栃木,75,79
大阪,北海道,90,76
三河,福岡,99,74
滋賀,三遠,60,69
京都,秋田,71,80
栃木,琉球,90,93
三河,福岡,69,62
名古屋D,千葉,66,95
北海道,富山,80,85
SR渋谷,大阪,62,50
川崎,横浜,94,55
新潟,A東京,68,63
北海道,富山,94,91
SR渋谷,大阪,64,58
新潟,A東京,83,86
滋賀,三遠,84,85
京都,秋田,79,78
栃木,琉球,77,67
名古屋D,千葉,76,94
川崎,横浜,87,75
秋田,SR渋谷,93,73
栃木,A東京,63,64
千葉,北海道,98,60
富山,横浜,106,72
三遠,新潟,74,82
三河,川崎,79,75
大阪,滋賀,67,58
福岡,名古屋D,81,102
琉球,京都,87,71
北海道,秋田,78,84
北海道,秋田,84,79
A東京,千葉,76,72
名古屋D,琉球,70,84
SR渋谷,三遠,93,85
横浜,大阪,60,59
新潟,栃木,73,75
富山,川崎,107,108
京都,三河,107,100
福岡,滋賀,70,78
富山,川崎,84,71
SR渋谷,三遠,80,57
横浜,大阪,60,58
新潟,栃木,62,68
京都,三河,77,73
福岡,滋賀,65,56
A東京,千葉,71,76
名古屋D,琉球,88,91
川崎,名古屋D,78,80
三河,新潟,77,86
滋賀,京都,68,62
川崎,名古屋D,101,91
三遠,富山,79,83
琉球,SR渋谷,77,71
秋田,千葉,86,89
横浜,A東京,56,88
大阪,栃木,70,74
福岡,北海道,80,82
琉球,SR渋谷,71,59
秋田,千葉,65,85
横浜,A東京,68,89
三遠,富山,78,83
三河,新潟,86,73
滋賀,京都,68,71
大阪,栃木,76,73
福岡,北海道,79,57
A東京,SR渋谷,77,74
新潟,横浜,97,68
富山,三河,88,82
三遠,川崎,64,82
名古屋D,滋賀,85,71
京都,福岡,73,78
大阪,琉球,85,44
北海道,千葉,76,83
栃木,秋田,84,59
川崎,三河,98,106
北海道,A東京,67,83
新潟,富山,81,67
川崎,三河,93,67
名古屋D,栃木,75,82
秋田,三遠,45,65
千葉,京都,98,46
SR渋谷,福岡,67,61
大阪,滋賀,76,71
大阪,滋賀,64,60
北海道,A東京,78,76
秋田,三遠,73,59
SR渋谷,福岡,72,79
新潟,富山,90,83
千葉,京都,87,84
名古屋D,栃木,85,89
琉球,横浜,83,42
琉球,横浜,66,69
三河,北海道,84,77
三河,北海道,69,59
滋賀,千葉,70,88
京都,新潟,61,82
A東京,栃木,79,62
川崎,秋田,84,62
横浜,名古屋D,99,106
富山,SR渋谷,81,76
福岡,三遠,67,79
琉球,大阪,71,48
富山,SR渋谷,94,87
横浜,名古屋D,73,68
滋賀,千葉,89,97
京都,新潟,86,90
福岡,三遠,66,85
琉球,大阪,53,61
A東京,栃木,62,63
川崎,秋田,72,58
秋田,A東京,72,81
千葉,栃木,80,71
SR渋谷,北海道,85,80
川崎,富山,87,67
三遠,横浜,97,91
三河,新潟,63,86
滋賀,名古屋D,68,74
大阪,京都,58,67
福岡,琉球,64,74
北海道,秋田,69,76
栃木,SR渋谷,81,62
千葉,A東京,81,79
横浜,川崎,70,79
新潟,富山,80,71
三遠,三河,89,94
京都,名古屋D,83,89
福岡,大阪,71,67
琉球,滋賀,55,65
北海道,京都,74,85
栃木,川崎,79,78
北海道,京都,69,76
秋田,横浜,67,65
新潟,福岡,87,85
A東京,大阪,85,70
三河,琉球,73,77
名古屋D,三遠,86,105
栃木,川崎,68,57
富山,千葉,82,89
富山,千葉,68,86
秋田,横浜,71,77
A東京,大阪,83,72
新潟,福岡,78,73
三河,琉球,76,74
名古屋D,三遠,69,79
SR渋谷,滋賀,71,65
SR渋谷,滋賀,89,57
秋田,栃木,74,78
千葉,SR渋谷,106,71
A東京,北海道,82,52
川崎,新潟,71,66
横浜,三河,57,91
三遠,富山,87,76
滋賀,福岡,83,72
京都,琉球,82,76
大阪,名古屋D,62,73
横浜,三遠,69,80
名古屋D,富山,80,82
福岡,A東京,59,69
横浜,三遠,83,82
滋賀,北海道,72,89
栃木,千葉,65,68
新潟,琉球,79,69
福岡,A東京,74,84
名古屋D,富山,94,83
SR渋谷,秋田,75,63
京都,川崎,73,69
大阪,三河,78,98
新潟,琉球,87,79
SR渋谷,秋田,69,62
滋賀,北海道,63,78
京都,川崎,88,85
大阪,三河,82,78
栃木,千葉,82,64
A東京,滋賀,83,70
川崎,三遠,83,81
名古屋D,京都,82,89
栃木,SR渋谷,91,71
北海道,新潟,64,79
富山,大阪,85,50
福岡,横浜,77,85
琉球,千葉,62,76
富山,大阪,100,72
北海道,新潟,60,84
福岡,横浜,80,74
栃木,SR渋谷,92,79
A東京,滋賀,70,65
川崎,三遠,84,75
名古屋D,京都,92,83
三河,秋田,85,58
琉球,千葉,79,67
三河,秋田,95,94
三河,横浜,73,70
千葉,福岡,102,63
A東京,富山,86,78
三遠,栃木,53,73
秋田,大阪,70,55
川崎,SR渋谷,89,80
新潟,名古屋D,85,72
京都,滋賀,88,83
琉球,北海道,72,57
琉球,北海道,88,54
秋田,大阪,73,88
新潟,名古屋D,106,100
三遠,栃木,66,82
三河,横浜,83,93
千葉,福岡,87,64
A東京,富山,87,73
京都,滋賀,90,85
川崎,SR渋谷,85,76
SR渋谷,新潟,92,77
琉球,富山,72,69
三遠,A東京,47,77
滋賀,秋田,77,68
京都,大阪,75,77
栃木,三河,98,77
SR渋谷,新潟,84,72
横浜,千葉,83,110
北海道,名古屋D,71,84
福岡,川崎,105,108
北海道,名古屋D,78,84
横浜,千葉,76,87
三遠,A東京,59,83
滋賀,秋田,92,76
京都,大阪,81,69
福岡,川崎,76,84
琉球,富山,78,80
栃木,三河,79,56
秋田,北海道,76,52
A東京,千葉,62,76
SR渋谷,栃木,77,83
川崎,横浜,83,76
富山,新潟,50,75
三河,三遠,83,69
名古屋D,京都,69,84
滋賀,琉球,85,69
大阪,福岡,60,79
三遠,大阪,68,86
栃木,京都,92,60
千葉,三河,105,74
新潟,川崎,85,74
名古屋D,SR渋谷,73,75
北海道,横浜,73,82
秋田,A東京,75,83
富山,滋賀,103,47
琉球,福岡,82,55
富山,滋賀,90,86
北海道,横浜,75,86
秋田,A東京,77,97
新潟,川崎,72,81
三遠,大阪,77,69
琉球,福岡,61,59
栃木,京都,75,82
千葉,三河,95,74
名古屋D,SR渋谷,88,76
三遠,三河,71,66
滋賀,琉球,81,78
千葉,秋田,88,64
A東京,名古屋D,82,70
川崎,北海道,95,75
横浜,栃木,64,79
京都,SR渋谷,93,97
大阪,新潟,68,80
福岡,富山,82,91
横浜,栃木,79,90
三遠,三河,80,66
滋賀,琉球,73,78
京都,SR渋谷,103,105
大阪,新潟,84,92
福岡,富山,74,101
千葉,秋田,101,68
A東京,名古屋D,100,74
川崎,北海道,92,77
北海道,A東京,80,100
栃木,秋田,99,54
SR渋谷,千葉,76,87
新潟,川崎,62,67
富山,三遠,88,76
三河,横浜,100,84
名古屋D,大阪,88,64
福岡,滋賀,71,73
琉球,京都,69,67
千葉,栃木,95,86
A東京,秋田,84,69
京都,名古屋D,90,78
北海道,SR渋谷,58,67
三遠,新潟,55,76
横浜,川崎,77,87
富山,三河,77,96
滋賀,大阪,84,81
福岡,琉球,59,70
富山,三河,83,97
北海道,SR渋谷,85,89
横浜,川崎,78,92
三遠,新潟,70,74
滋賀,大阪,58,65
京都,名古屋D,68,85
福岡,琉球,70,86
千葉,栃木,70,72
A東京,秋田,79,63
秋田,千葉,83,85
栃木,北海道,86,65
SR渋谷,A東京,61,110
川崎,三遠,91,67
新潟,富山,80,66
三河,横浜,94,92
名古屋D,琉球,74,60
京都,滋賀,90,84
大阪,福岡,77,61
栃木,A東京,87,83
川崎,富山,86,79
三遠,横浜,83,81
秋田,SR渋谷,68,75
三遠,横浜,94,74
北海道,千葉,67,97
新潟,三河,95,84
川崎,富山,74,88
名古屋D,大阪,73,49
栃木,A東京,56,60
滋賀,福岡,91,80
琉球,京都,82,76
北海道,千葉,58,91
琉球,京都,67,52
秋田,SR渋谷,84,92
新潟,三河,79,62
滋賀,福岡,92,77
名古屋D,大阪,87,86
北海道,栃木,83,95
千葉,秋田,91,62
A東京,SR渋谷,81,73
横浜,三河,80,88
富山,新潟,61,79
三遠,川崎,83,85
滋賀,京都,90,88
福岡,大阪,71,80
琉球,名古屋D,75,68
横浜,富山,97,99
秋田,北海道,79,66
横浜,富山,72,75
三河,三遠,91,83
千葉,A東京,59,57
名古屋D,滋賀,60,92
SR渋谷,栃木,61,72
川崎,新潟,78,80
京都,福岡,74,80
大阪,琉球,66,62
秋田,北海道,73,44
SR渋谷,栃木,65,99
三河,三遠,63,50
京都,福岡,83,79
大阪,琉球,59,76
千葉,A東京,87,76
名古屋D,滋賀,92,65
川崎,新潟,74,84
栃木,秋田,80,72
三河,川崎,74,75
A東京,北海道,96,84
三河,川崎,66,83
栃木,秋田,78,73
SR渋谷,千葉,69,94
新潟,横浜,89,88
富山,三遠,89,72
大阪,京都,57,69
福岡,名古屋D,73,77
琉球,滋賀,69,63
富山,三遠,91,79
SR渋谷,千葉,74,95
新潟,横浜,89,73
大阪,京都,52,51
福岡,名古屋D,83,84
A東京,北海道,81,74
琉球,滋賀,85,79
