Home,Away,Hscore,Ascore
川崎,宇都宮,78,57
秋田,大阪,81,58
A東京,新潟,87,59
SR渋谷,千葉,88,80
島根,名古屋D,58,72
京都,滋賀,89,71
富山,三遠,87,67
琉球,三河,61,71
島根,名古屋D,63,66
SR渋谷,千葉,83,78
富山,三遠,88,71
京都,滋賀,72,69
秋田,大阪,70,77
琉球,三河,80,76
北海道,横浜,72,67
A東京,新潟,94,84
川崎,宇都宮,75,69
北海道,横浜,81,75
信州,広島,85,77
信州,広島,77,81
FE名古屋,青森,85,68
茨城,福岡,86,74
群馬,仙台,81,79
西宮,奈良,74,72
熊本,越谷,74,82
山形,福島,90,92
香川,愛媛,77,90
東京EX,東京Z,82,77
山形,福島,85,73
群馬,仙台,62,57
香川,愛媛,92,64
FE名古屋,青森,74,79
西宮,奈良,72,62
熊本,越谷,93,73
東京EX,東京Z,92,52
茨城,福岡,100,71
北海道,島根,75,71
横浜,秋田,75,60
滋賀,宇都宮,71,84
北海道,島根,75,53
京都,富山,91,90
滋賀,宇都宮,90,96
三河,千葉,78,82
名古屋D,三遠,75,65
京都,富山,90,84
大阪,琉球,90,85
新潟,川崎,62,71
新潟,川崎,67,70
三河,千葉,84,107
名古屋D,三遠,88,74
A東京,SR渋谷,85,67
A東京,SR渋谷,65,77
横浜,秋田,75,93
大阪,琉球,55,73
愛媛,西宮,80,86
越谷,信州,54,74
愛媛,西宮,72,81
仙台,茨城,80,65
東京Z,FE名古屋,65,85
青森,山形,91,94
福島,群馬,65,73
奈良,香川,96,86
広島,熊本,101,51
東京EX,福岡,81,74
仙台,茨城,76,67
福島,群馬,65,70
青森,山形,93,75
越谷,信州,71,73
東京EX,福岡,90,80
東京Z,FE名古屋,72,84
奈良,香川,84,93
広島,熊本,75,54
秋田,A東京,65,60
千葉,宇都宮,69,76
SR渋谷,北海道,83,76
三遠,横浜,71,80
三河,新潟,93,74
大阪,京都,59,90
島根,滋賀,61,78
川崎,富山,69,73
