Home,Away,Hscore,Ascore
大阪,名古屋D,84,108
広島,滋賀,92,67
島根,三河,92,78
広島,富山,84,79
群馬,宇都宮,63,99
千葉,信州,92,74
島根,名古屋D,76,91
茨城,A東京,65,81
京都,三河,78,79
広島,富山,74,90
群馬,宇都宮,88,97
千葉,信州,89,74
横浜,大阪,92,67
新潟,SR渋谷,68,88
川崎,三遠,103,71
滋賀,秋田,77,94
琉球,北海道,91,82
島根,名古屋D,88,81
茨城,A東京,74,87
横浜,大阪,69,98
京都,三河,72,71
滋賀,秋田,67,92
新潟,SR渋谷,73,84
川崎,三遠,78,68
琉球,北海道,84,65
群馬,島根,65,106
SR渋谷,川崎,81,63
富山,秋田,99,91
富山,秋田,64,80
大阪,新潟,試合中止,
SR渋谷,川崎,60,86
宇都宮,京都,78,54
信州,広島,86,72
信州,広島,66,75
宇都宮,京都,71,68
横浜,A東京,68,82
横浜,A東京,61,90
三河,滋賀,108,71
名古屋D,茨城,試合中止,
三河,滋賀,93,91
名古屋D,茨城,試合中止,
琉球,千葉,試合中止,
北海道,三遠,試合中止,
群馬,島根,93,85
北海道,三遠,97,89
大阪,新潟,66,73
琉球,千葉,92,84
茨城,広島,79,81
A東京,大阪,90,77
三河,富山,87,93
名古屋D,北海道,90,60
新潟,信州,64,76
秋田,横浜,97,78
秋田,横浜,97,102
茨城,広島,60,90
京都,千葉,試合中止,
A東京,大阪,99,71
三河,富山,76,70
名古屋D,北海道,89,77
新潟,信州,59,89
川崎,群馬,95,101
川崎,群馬,73,81
三遠,滋賀,100,104
三遠,滋賀,93,80
宇都宮,SR渋谷,68,64
島根,琉球,87,76
島根,琉球,74,92
宇都宮,SR渋谷,81,56
京都,千葉,試合中止,
北海道,新潟,107,85
群馬,茨城,84,91
千葉,秋田,85,69
A東京,名古屋D,80,86
SR渋谷,京都,91,81
信州,琉球,85,86
大阪,三河,74,86
広島,横浜,68,73
滋賀,富山,103,108
三遠,島根,65,91
川崎,宇都宮,試合中止,
島根,SR渋谷,109,77
北海道,川崎,91,109
横浜,千葉,試合中止,
信州,大阪,89,79
三河,A東京,試合中止,
名古屋D,宇都宮,79,93
新潟,茨城,79,76
富山,広島,85,68
京都,三遠,88,83
富山,広島,89,75
島根,SR渋谷,83,79
北海道,川崎,85,97
横浜,千葉,試合中止,
信州,大阪,87,83
京都,三遠,79,62
新潟,茨城,87,79
三河,A東京,試合中止,
名古屋D,宇都宮,試合中止,
群馬,滋賀,試合中止,
秋田,琉球,試合中止,
群馬,滋賀,84,83
秋田,琉球,試合中止,
千葉,川崎,試合中止,
SR渋谷,横浜,99,84
富山,島根,75,91
三遠,群馬,68,101
三河,滋賀,試合中止,
京都,広島,82,80
宇都宮,新潟,74,51
琉球,大阪,96,49
茨城,秋田,70,76
北海道,A東京,91,87
名古屋D,信州,試合中止,
島根,三河,86,82
茨城,富山,88,96
広島,宇都宮,63,77
横浜,北海道,86,67
信州,京都,82,58
大阪,秋田,試合中止,
A東京,千葉,試合中止,
新潟,群馬,64,83
川崎,SR渋谷,93,86
琉球,三遠,110,77
島根,三河,95,78
茨城,富山,85,79
横浜,北海道,85,79
広島,宇都宮,72,67
滋賀,名古屋D,試合中止,
A東京,千葉,試合中止,
新潟,群馬,96,79
信州,京都,72,51
大阪,秋田,試合中止,
川崎,SR渋谷,85,68
琉球,三遠,100,72
滋賀,名古屋D,77,79
川崎,信州,77,84
秋田,新潟,92,76
宇都宮,横浜,98,73
群馬,北海道,試合中止,
三河,広島,83,92
名古屋D,千葉,試合中止,
川崎,信州,99,75
三遠,A東京,62,87
滋賀,琉球,84,98
富山,SR渋谷,78,91
京都,茨城,86,81
島根,大阪,77,69
富山,SR渋谷,89,76
島根,大阪,68,85
秋田,新潟,71,67
三遠,A東京,59,90
京都,茨城,70,96
滋賀,琉球,73,82
宇都宮,横浜,83,59
群馬,北海道,試合中止,
三河,広島,100,94
名古屋D,千葉,試合中止,
北海道,信州,94,103
千葉,宇都宮,93,66
川崎,滋賀,103,56
横浜,秋田,55,77
新潟,A東京,64,93
名古屋D,三遠,82,85
京都,島根,74,95
大阪,富山,76,66
広島,琉球,88,101
SR渋谷,群馬,80,72
茨城,三河,98,110
茨城,SR渋谷,95,91
千葉,北海道,93,72
A東京,秋田,79,69
横浜,群馬,84,92
新潟,川崎,62,92
富山,京都,66,88
信州,三遠,69,72
大阪,宇都宮,69,92
広島,名古屋D,93,100
島根,滋賀,82,74
琉球,三河,76,68
秋田,川崎,79,94
茨城,新潟,74,54
宇都宮,北海道,89,98
千葉,群馬,88,75
三河,SR渋谷,93,79
名古屋D,信州,82,65
三遠,横浜,68,79
滋賀,京都,96,102
富山,島根,75,79
琉球,大阪,86,65
A東京,広島,100,89
富山,島根,76,87
秋田,川崎,83,90
茨城,新潟,79,76
三遠,横浜,82,68
滋賀,京都,57,79
宇都宮,北海道,74,66
千葉,群馬,103,74
A東京,広島,74,66
三河,SR渋谷,93,74
名古屋D,信州,81,76
琉球,大阪,90,85
北海道,茨城,82,94
秋田,宇都宮,75,69
群馬,川崎,73,98
SR渋谷,A東京,試合中止,
横浜,千葉,76,75
新潟,島根,62,77
信州,富山,78,71
三遠,広島,試合中止,
名古屋D,三河,87,93
京都,琉球,64,83
滋賀,大阪,78,84
信州,琉球,84,87
北海道,秋田,68,105
茨城,SR渋谷,76,85
宇都宮,滋賀,102,65
横浜,京都,71,67
大阪,富山,89,88
広島,群馬,試合中止,
川崎,名古屋D,84,89
三遠,島根,71,87
千葉,三河,試合中止,
北海道,秋田,84,86
茨城,SR渋谷,94,78
横浜,京都,60,79
三遠,島根,80,88
広島,群馬,試合中止,
宇都宮,滋賀,86,59
千葉,三河,試合中止,
A東京,新潟,試合中止,
信州,琉球,66,73
大阪,富山,85,69
川崎,名古屋D,103,95
