Home,Away,Hscore,Ascore
京都,三遠,85,72
横浜,富山,55,96
琉球,広島,100,70
北海道,宇都宮,85,87
秋田,SR渋谷,76,78
新潟,川崎,74,80
信州,名古屋D,87,80
三河,大阪,85,93
島根,滋賀,77,78
横浜,島根,64,74
広島,新潟,74,83
三河,A東京,83,77
宇都宮,京都,76,71
千葉,信州,70,64
横浜,島根,89,77
名古屋D,秋田,85,57
北海道,川崎,75,98
富山,大阪,101,113
三遠,SR渋谷,80,79
滋賀,琉球,67,86
富山,大阪,83,88
広島,新潟,76,102
北海道,川崎,70,91
三遠,SR渋谷,75,71
三河,A東京,74,90
滋賀,琉球,68,83
宇都宮,京都,72,71
千葉,信州,99,67
名古屋D,秋田,65,83
川崎,千葉,67,77
SR渋谷,富山,92,81
大阪,三遠,98,91
島根,三河,58,106
北海道,横浜,71,76
信州,滋賀,試合中止,
広島,京都,試合中止,
宇都宮,秋田,104,73
琉球,名古屋D,85,87
新潟,A東京,試合中止,
島根,SR渋谷,99,90
島根,SR渋谷,88,77
広島,千葉,88,110
秋田,北海道,81,73
宇都宮,三河,67,85
横浜,川崎,65,92
信州,新潟,79,67
名古屋D,A東京,100,95
京都,大阪,72,79
三遠,滋賀,73,100
富山,琉球,85,67
秋田,北海道,67,71
富山,琉球,76,85
広島,千葉,72,104
横浜,川崎,65,67
信州,新潟,70,76
三遠,滋賀,77,81
京都,大阪,74,60
宇都宮,三河,93,84
名古屋D,A東京,85,83
A東京,富山,114,87
横浜,SR渋谷,91,86
三遠,島根,70,84
川崎,宇都宮,54,58
名古屋D,京都,99,95
新潟,秋田,73,53
大阪,信州,86,79
滋賀,広島,77,97
琉球,三河,85,75
千葉,北海道,99,46
北海道,広島,82,76
秋田,滋賀,86,76
三河,信州,83,78
京都,三遠,78,86
大阪,名古屋D,94,86
川崎,新潟,81,77
富山,千葉,96,80
島根,宇都宮,68,72
琉球,横浜,92,64
富山,千葉,88,90
島根,宇都宮,73,77
北海道,広島,74,62
秋田,滋賀,74,77
三河,信州,80,76
京都,三遠,87,74
琉球,横浜,84,72
大阪,名古屋D,95,84
川崎,新潟,112,75
SR渋谷,A東京,84,82
SR渋谷,A東京,76,83
島根,信州,88,95
宇都宮,横浜,77,66
千葉,三河,74,68
A東京,京都,84,72
名古屋D,川崎,84,75
新潟,SR渋谷,77,100
三遠,秋田,83,88
滋賀,富山,95,97
大阪,北海道,89,87
琉球,広島,90,70
新潟,SR渋谷,73,95
島根,信州,70,60
三遠,秋田,80,73
滋賀,富山,82,90
琉球,広島,81,71
宇都宮,横浜,82,76
千葉,三河,85,87
A東京,京都,89,93
名古屋D,川崎,80,86
大阪,北海道,81,84
三遠,名古屋D,78,98
秋田,A東京,62,76
千葉,新潟,104,65
SR渋谷,北海道,86,74
横浜,川崎,74,100
富山,宇都宮,90,85
信州,琉球,60,82
京都,島根,86,96
広島,三河,91,89
滋賀,大阪,75,90
宇都宮,三遠,99,55
A東京,北海道,103,96
横浜,富山,72,87
名古屋D,京都,84,81
川崎,滋賀,75,67
横浜,富山,90,96
宇都宮,三遠,96,64
A東京,北海道,79,96
名古屋D,京都,77,86
川崎,滋賀,77,71
SR渋谷,秋田,89,88
SR渋谷,秋田,98,79
琉球,千葉,87,99
琉球,千葉,89,97
広島,信州,100,81
三河,大阪,90,102
新潟,島根,100,95
広島,信州,84,69
三河,大阪,97,84
新潟,島根,90,92
北海道,新潟,試合中止,
横浜,宇都宮,64,76
富山,秋田,91,77
信州,京都,82,67
島根,名古屋D,72,88
琉球,三遠,110,71
川崎,A東京,92,72
広島,大阪,77,102
滋賀,三河,69,82
千葉,SR渋谷,104,83
島根,富山,74,92
島根,富山,73,87
宇都宮,名古屋D,88,69
信州,北海道,90,76
SR渋谷,琉球,96,85
新潟,A東京,試合中止,
三遠,川崎,74,103
京都,滋賀,65,93
新潟,A東京,試合中止,
秋田,千葉,試合中止,
SR渋谷,琉球,87,101
信州,北海道,91,57
三遠,川崎,77,87
三河,広島,試合中止,
京都,滋賀,72,57
宇都宮,名古屋D,80,61
大阪,横浜,試合中止,
三河,広島,83,74
大阪,横浜,91,85
秋田,千葉,70,98
広島,京都,59,99
千葉,新潟,試合中止,
信州,島根,85,75
名古屋D,大阪,試合中止,
北海道,宇都宮,75,90
滋賀,三遠,94,87
川崎,秋田,82,55
富山,SR渋谷,78,79
琉球,三河,試合中止,
富山,SR渋谷,93,82
琉球,三河,試合中止,
広島,京都,73,78
北海道,宇都宮,76,81
信州,島根,62,71
滋賀,三遠,76,82
千葉,新潟,試合中止,
名古屋D,大阪,試合中止,
川崎,秋田,84,93
A東京,横浜,78,82
A東京,横浜,71,73
秋田,富山,101,108
A東京,川崎,試合中止,
SR渋谷,千葉,91,85
新潟,北海道,81,73
三遠,琉球,80,85
三河,滋賀,82,88
名古屋D,島根,78,83
京都,信州,74,71
大阪,広島,試合中止,
宇都宮,横浜,77,71
富山,宇都宮,62,119
横浜,SR渋谷,67,79
秋田,新潟,79,76
富山,宇都宮,81,107
北海道,A東京,69,70
滋賀,名古屋D,83,80
川崎,千葉,87,85
京都,三河,試合中止,
琉球,大阪,試合中止,
島根,広島,82,67
北海道,A東京,70,71
島根,広島,72,58
秋田,新潟,91,59
横浜,SR渋谷,71,85
信州,三遠,試合中止,
滋賀,名古屋D,72,92
京都,三河,試合中止,
琉球,大阪,試合中止,
川崎,千葉,80,73
信州,三遠,80,75
広島,滋賀,80,88
三河,島根,102,106
千葉,横浜,91,83
A東京,秋田,90,77
名古屋D,信州,試合中止,
宇都宮,川崎,57,58
SR渋谷,北海道,92,64
新潟,富山,85,83
三遠,大阪,101,105
新潟,富山,83,104
広島,滋賀,75,82
SR渋谷,北海道,98,83
三遠,大阪,79,91
三河,島根,86,94
千葉,横浜,70,63
A東京,秋田,93,75
名古屋D,信州,試合中止,
宇都宮,川崎,67,75
琉球,京都,78,73
琉球,京都,70,72
横浜,新潟,87,85
島根,京都,89,69
秋田,宇都宮,69,86
信州,広島,試合中止,
三河,三遠,91,68
千葉,A東京,92,81
横浜,新潟,84,70
名古屋D,琉球,66,70
大阪,滋賀,68,84
北海道,富山,68,99
川崎,SR渋谷,108,88
島根,京都,103,88
北海道,富山,88,97
秋田,宇都宮,66,73
信州,広島,試合中止,
三河,三遠,80,75
千葉,A東京,111,109
名古屋D,琉球,93,88
大阪,滋賀,96,80
川崎,SR渋谷,110,88
