Home,Away,Hscore,Ascore
A東京,川崎,85,79
信州,秋田,55,80
宇都宮,琉球,73,61
名古屋D,北海道,89,54
大阪,広島,94,83
A東京,川崎,52,55
SR渋谷,三河,78,82
滋賀,島根,51,73
新潟,横浜,53,74
三遠,千葉,65,83
京都,富山,89,97
SR渋谷,三河,87,89
信州,秋田,76,80
滋賀,島根,63,75
京都,富山,75,97
宇都宮,琉球,79,68
名古屋D,北海道,66,78
大阪,広島,84,93
新潟,横浜,80,75
三遠,千葉,54,103
広島,A東京,71,80
島根,名古屋D,60,76
宇都宮,信州,74,52
広島,A東京,71,81
三遠,三河,55,63
滋賀,横浜,76,84
川崎,大阪,77,62
富山,北海道,82,94
京都,秋田,71,90
SR渋谷,千葉,91,93
琉球,新潟,89,75
富山,北海道,92,84
島根,名古屋D,72,80
滋賀,横浜,72,63
SR渋谷,千葉,87,86
三遠,三河,57,85
京都,秋田,68,79
琉球,新潟,86,79
宇都宮,信州,84,74
川崎,大阪,88,53
川崎,広島,99,64
秋田,琉球,53,74
三河,名古屋D,87,82
横浜,A東京,57,83
信州,SR渋谷,77,83
大阪,京都,82,88
北海道,島根,85,93
千葉,宇都宮,87,78
川崎,広島,82,80
新潟,滋賀,79,73
富山,三遠,81,54
富山,三遠,91,57
北海道,島根,80,84
秋田,琉球,76,82
横浜,A東京,65,72
信州,SR渋谷,61,72
三河,名古屋D,75,89
大阪,京都,78,70
千葉,宇都宮,68,85
新潟,滋賀,93,99
北海道,秋田,104,79
A東京,宇都宮,75,80
SR渋谷,川崎,87,95
横浜,千葉,57,79
新潟,富山,67,97
三遠,信州,79,83
名古屋D,広島,81,76
京都,三河,82,99
島根,大阪,85,99
滋賀,琉球,77,89
三河,富山,81,85
宇都宮,SR渋谷,97,66
信州,川崎,72,66
大阪,A東京,69,97
北海道,滋賀,80,86
千葉,名古屋D,92,76
秋田,横浜,70,68
京都,新潟,92,86
広島,三遠,76,67
琉球,島根,84,71
北海道,滋賀,87,98
秋田,横浜,68,48
信州,川崎,62,80
三河,富山,99,77
京都,新潟,81,86
広島,三遠,115,109
琉球,島根,82,75
宇都宮,SR渋谷,78,77
大阪,A東京,77,85
千葉,名古屋D,95,72
千葉,A東京,82,73
SR渋谷,秋田,89,86
川崎,新潟,92,69
富山,横浜,84,64
三遠,京都,94,75
名古屋D,信州,65,61
大阪,三河,98,76
広島,琉球,72,74
滋賀,島根,80,82
宇都宮,北海道,85,76
広島,富山,74,97
広島,富山,80,89
北海道,千葉,75,126
A東京,滋賀,88,86
横浜,名古屋D,81,82
SR渋谷,京都,75,63
新潟,宇都宮,57,99
秋田,大阪,80,72
川崎,琉球,65,79
島根,三遠,82,83
新潟,宇都宮,67,85
島根,三遠,81,74
北海道,千葉,73,92
秋田,大阪,73,72
SR渋谷,京都,90,78
横浜,名古屋D,71,79
信州,三河,67,85
A東京,滋賀,80,87
川崎,琉球,83,89
信州,三河,87,73
秋田,宇都宮,69,72
千葉,川崎,94,97
A東京,新潟,76,84
横浜,北海道,94,90
富山,SR渋谷,97,106
三遠,大阪,84,85
三河,島根,82,101
名古屋D,琉球,76,80
京都,広島,76,94
滋賀,信州,58,66
千葉,秋田,70,68
A東京,三遠,94,76
横浜,三河,75,85
大阪,島根,80,73
新潟,北海道,77,68
滋賀,京都,74,84
川崎,富山,84,78
広島,宇都宮,54,84
SR渋谷,名古屋D,88,84
琉球,信州,66,73
新潟,北海道,76,82
広島,宇都宮,71,85
SR渋谷,名古屋D,54,78
横浜,三河,84,88
滋賀,京都,82,79
琉球,信州,80,71
千葉,秋田,102,58
A東京,三遠,88,65
川崎,富山,82,93
大阪,島根,90,71
北海道,千葉,68,72
秋田,新潟,102,110
SR渋谷,横浜,87,72
富山,A東京,104,85
信州,大阪,73,66
三河,琉球,86,82
京都,名古屋D,71,72
島根,三遠,77,75
広島,滋賀,97,109
宇都宮,川崎,60,67
千葉,島根,92,83
大阪,宇都宮,69,94
SR渋谷,新潟,85,67
滋賀,三河,81,96
秋田,広島,95,73
富山,名古屋D,79,83
三遠,横浜,68,79
京都,信州,69,66
琉球,A東京,87,79
富山,名古屋D,80,59
滋賀,三河,60,83
秋田,広島,84,78
SR渋谷,新潟,97,72
三遠,横浜,82,90
京都,信州,51,63
琉球,A東京,54,85
千葉,島根,92,70
大阪,宇都宮,90,73
川崎,北海道,88,83
川崎,北海道,71,53
北海道,SR渋谷,71,77
A東京,秋田,70,89
川崎,横浜,78,77
新潟,千葉,69,94
三河,広島,87,64
名古屋D,三遠,91,77
大阪,滋賀,101,96
島根,京都,59,84
宇都宮,富山,100,63
琉球,信州,83,69
A東京,SR渋谷,71,73
横浜,信州,75,57
大阪,琉球,69,87
北海道,三遠,69,83
新潟,三河,71,94
滋賀,宇都宮,75,86
秋田,島根,88,76
富山,川崎,101,102
京都,千葉,87,96
広島,名古屋D,73,89
新潟,三河,69,100
富山,川崎,96,78
広島,名古屋D,74,94
北海道,三遠,74,80
秋田,島根,75,49
横浜,信州,58,64
滋賀,宇都宮,87,73
京都,千葉,75,86
A東京,SR渋谷,104,80
大阪,琉球,88,76
信州,大阪,70,77
三河,北海道,73,67
宇都宮,A東京,75,69
千葉,富山,98,82
横浜,秋田,86,82
名古屋D,滋賀,76,55
SR渋谷,広島,99,78
三遠,新潟,85,81
川崎,京都,98,105
島根,琉球,67,92
島根,琉球,69,89
SR渋谷,広島,89,81
横浜,秋田,69,77
信州,大阪,58,68
三遠,新潟,79,86
三河,北海道,89,92
宇都宮,A東京,86,70
千葉,富山,130,129
名古屋D,滋賀,77,70
川崎,京都,83,84
三河,宇都宮,82,88
A東京,名古屋D,102,99
大阪,千葉,98,101
新潟,信州,67,76
滋賀,北海道,88,81
秋田,三遠,89,79
富山,広島,84,76
京都,SR渋谷,98,103
島根,横浜,66,72
琉球,川崎,72,80
新潟,信州,73,76
富山,広島,85,70
島根,横浜,68,67
秋田,三遠,85,53
三河,宇都宮,90,70
滋賀,北海道,80,77
京都,SR渋谷,83,88
琉球,川崎,72,63
A東京,名古屋D,90,78
大阪,千葉,93,83
富山,島根,95,75
千葉,琉球,70,80
A東京,大阪,83,79
横浜,滋賀,83,78
名古屋D,宇都宮,72,85
広島,秋田,70,72
北海道,信州,72,60
SR渋谷,三遠,81,80
新潟,京都,88,64
新潟,京都,82,74
富山,島根,101,79
広島,秋田,57,97
北海道,信州,62,59
SR渋谷,三遠,105,64
横浜,滋賀,75,71
千葉,琉球,80,74
A東京,大阪,67,73
名古屋D,宇都宮,76,77
三河,川崎,84,92
三河,川崎,99,86
北海道,横浜,80,74
秋田,川崎,67,80
信州,富山,86,68
宇都宮,千葉,84,64
京都,琉球,86,89
新潟,大阪,81,91
三遠,広島,81,79
滋賀,SR渋谷,68,81
名古屋D,三河,73,79
島根,A東京,64,86
北海道,横浜,78,68
新潟,大阪,85,91
名古屋D,三河,71,84
島根,A東京,55,90
秋田,川崎,96,81
信州,富山,80,89
三遠,広島,85,83
滋賀,SR渋谷,79,86
京都,琉球,87,85
宇都宮,千葉,88,76
琉球,滋賀,84,52
富山,新潟,93,81
秋田,北海道,79,73
千葉,横浜,75,64
川崎,SR渋谷,86,73
信州,三遠,76,75
三河,京都,82,70
大阪,島根,96,101
広島,名古屋D,64,90
宇都宮,A東京,59,83
A東京,富山,86,97
横浜,広島,70,73
信州,滋賀,68,74
三河,秋田,83,69
名古屋D,新潟,79,62
北海道,京都,76,78
SR渋谷,宇都宮,77,71
三遠,琉球,78,92
島根,川崎,65,79
千葉,大阪,75,78
北海道,京都,74,94
島根,川崎,86,85
SR渋谷,宇都宮,62,67
横浜,広島,80,74
信州,滋賀,76,79
三遠,琉球,72,99
千葉,大阪,76,70
A東京,富山,90,86
三河,秋田,75,84
名古屋D,新潟,78,73
広島,島根,77,86
宇都宮,新潟,86,48
A東京,信州,83,73
京都,横浜,82,69
大阪,SR渋谷,91,72
滋賀,千葉,75,90
川崎,三河,93,63
富山,秋田,74,64
三遠,名古屋D,90,106
琉球,北海道,93,80
富山,秋田,79,76
広島,島根,71,86
三遠,名古屋D,80,101
滋賀,千葉,71,97
京都,横浜,78,83
琉球,北海道,82,54
宇都宮,新潟,74,67
A東京,信州,77,68
大阪,SR渋谷,73,86
川崎,三河,96,93
A東京,千葉,82,77
